C1|C2|C3|C4|C5
88001001|Quispe Huaman|Ana Carmen|2026-08-03 07:47:08|entrada
88001001|Quispe Huaman|Ana Carmen|2026-08-03 13:03:12|salida
88001002|Huaman Flores|Luis Jose|2026-08-03 07:48:15|entrada
88001002|Huaman Flores|Luis Jose|2026-08-03 13:04:23|salida
88001003|Flores Torres|Maria Teresa|2026-08-04 07:50:17|entrada
88001003|Flores Torres|Maria Teresa|2026-08-04 13:08:25|salida
88001004|Torres Vargas|Jose Miguel|2026-08-04 07:51:18|entrada
88001004|Torres Vargas|Jose Miguel|2026-08-04 13:00:26|salida
88001005|Vargas Rojas|Rosa Elena|2026-08-05 07:52:19|entrada
88001005|Vargas Rojas|Rosa Elena|2026-08-05 13:02:27|salida
