CODIGO_PERSONA|PATERNO_MATERNO|NOMBRE_DOCENTE|MARCACION_BIOMETRICO|SENTIDO_RELOJ
88000001|Quispe Huaman|Ana Carmen|2026-06-01 07:47:08|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-01 13:03:12|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-02 07:48:09|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-02 13:05:13|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-03 07:49:10|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-03 13:07:14|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-04 07:50:11|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-04 13:09:15|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-05 07:51:12|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-05 13:01:16|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-08 07:54:15|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-08 13:07:19|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-09 07:55:16|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-09 13:09:20|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-10 07:56:17|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-10 13:01:21|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-11 07:57:18|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-11 13:03:22|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-12 07:58:19|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-12 13:05:23|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-15 07:46:22|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-15 13:01:26|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-16 07:47:23|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-16 13:03:27|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-17 07:48:24|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-17 13:05:28|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-18 07:49:25|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-18 13:07:29|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-19 07:50:26|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-19 13:09:30|salida
88000001|Quispe Huaman|Ana Carmen|2026-06-22 07:53:29|entrada
88000001|Quispe Huaman|Ana Carmen|2026-06-22 13:05:33|salida
