dni,apellidos,nombres,fecha_hora,tipo_marca
77000001,Quispe Poma,Ana Diana,2026-05-01 07:44:06,entrada
77000001,Quispe Poma,Ana Diana,2026-05-01 13:04:10,salida
77000001,Quispe Poma,Ana Diana,2026-05-04 07:47:09,entrada
77000001,Quispe Poma,Ana Diana,2026-05-04 13:01:13,salida
77000001,Quispe Poma,Ana Diana,2026-05-05 07:48:10,entrada
77000001,Quispe Poma,Ana Diana,2026-05-05 13:04:14,salida
77000001,Quispe Poma,Ana Diana,2026-05-06 07:49:11,entrada
77000001,Quispe Poma,Ana Diana,2026-05-06 13:07:15,salida
77000001,Quispe Poma,Ana Diana,2026-05-07 07:50:12,entrada
77000001,Quispe Poma,Ana Diana,2026-05-07 13:10:16,salida
77000001,Quispe Poma,Ana Diana,2026-05-08 07:51:13,entrada
77000001,Quispe Poma,Ana Diana,2026-05-08 13:01:17,salida
77000001,Quispe Poma,Ana Diana,2026-05-11 07:54:16,entrada
77000001,Quispe Poma,Ana Diana,2026-05-11 13:10:20,salida
77000001,Quispe Poma,Ana Diana,2026-05-12 07:55:17,entrada
77000001,Quispe Poma,Ana Diana,2026-05-12 13:01:21,salida
77000001,Quispe Poma,Ana Diana,2026-05-13 07:56:18,entrada
77000001,Quispe Poma,Ana Diana,2026-05-13 13:04:22,salida
77000001,Quispe Poma,Ana Diana,2026-05-14 07:57:19,entrada
77000001,Quispe Poma,Ana Diana,2026-05-14 13:07:23,salida
77000001,Quispe Poma,Ana Diana,2026-05-15 07:58:20,entrada
77000001,Quispe Poma,Ana Diana,2026-05-15 13:10:24,salida
77000001,Quispe Poma,Ana Diana,2026-05-18 07:43:23,entrada
77000001,Quispe Poma,Ana Diana,2026-05-18 13:07:27,salida
77000001,Quispe Poma,Ana Diana,2026-05-19 07:44:24,entrada
77000001,Quispe Poma,Ana Diana,2026-05-19 13:10:28,salida
77000001,Quispe Poma,Ana Diana,2026-05-20 07:45:25,entrada
77000001,Quispe Poma,Ana Diana,2026-05-20 13:01:29,salida
77000001,Quispe Poma,Ana Diana,2026-05-21 07:46:26,entrada
77000001,Quispe Poma,Ana Diana,2026-05-21 13:04:30,salida
77000001,Quispe Poma,Ana Diana,2026-05-22 07:47:27,entrada
77000001,Quispe Poma,Ana Diana,2026-05-22 13:07:31,salida
77000001,Quispe Poma,Ana Diana,2026-05-25 07:50:30,entrada
77000001,Quispe Poma,Ana Diana,2026-05-25 13:04:34,salida
77000001,Quispe Poma,Ana Diana,2026-05-26 07:51:31,entrada
77000001,Quispe Poma,Ana Diana,2026-05-26 13:07:35,salida
77000001,Quispe Poma,Ana Diana,2026-05-27 07:52:32,entrada
77000001,Quispe Poma,Ana Diana,2026-05-27 13:10:36,salida
77000001,Quispe Poma,Ana Diana,2026-05-28 07:53:33,entrada
77000001,Quispe Poma,Ana Diana,2026-05-28 13:01:37,salida
77000001,Quispe Poma,Ana Diana,2026-05-29 07:54:34,entrada
77000001,Quispe Poma,Ana Diana,2026-05-29 13:04:38,salida
77000002,Huaman Quispe,Luis Jose,2026-05-01 07:45:11,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-01 13:05:19,salida
77000002,Huaman Quispe,Luis Jose,2026-05-04 07:48:14,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-04 13:02:22,salida
77000002,Huaman Quispe,Luis Jose,2026-05-05 07:49:15,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-05 13:05:23,salida
77000002,Huaman Quispe,Luis Jose,2026-05-06 07:50:16,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-06 13:08:24,salida
77000002,Huaman Quispe,Luis Jose,2026-05-07 07:51:17,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-07 13:11:25,salida
77000002,Huaman Quispe,Luis Jose,2026-05-08 07:52:18,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-08 13:02:26,salida
77000002,Huaman Quispe,Luis Jose,2026-05-11 07:55:21,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-11 13:11:29,salida
77000002,Huaman Quispe,Luis Jose,2026-05-12 07:56:22,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-12 13:02:30,salida
77000002,Huaman Quispe,Luis Jose,2026-05-13 07:57:23,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-13 13:05:31,salida
77000002,Huaman Quispe,Luis Jose,2026-05-14 07:58:24,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-14 13:08:32,salida
77000002,Huaman Quispe,Luis Jose,2026-05-15 07:59:25,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-15 13:11:33,salida
77000002,Huaman Quispe,Luis Jose,2026-05-18 07:44:28,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-18 13:08:36,salida
77000002,Huaman Quispe,Luis Jose,2026-05-19 07:45:29,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-19 13:11:37,salida
77000002,Huaman Quispe,Luis Jose,2026-05-20 07:46:30,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-20 13:02:38,salida
77000002,Huaman Quispe,Luis Jose,2026-05-21 07:47:31,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-21 13:05:39,salida
77000002,Huaman Quispe,Luis Jose,2026-05-22 07:48:32,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-22 13:08:40,salida
77000002,Huaman Quispe,Luis Jose,2026-05-25 07:51:35,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-25 13:05:43,salida
77000002,Huaman Quispe,Luis Jose,2026-05-26 07:52:36,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-26 13:08:44,salida
77000002,Huaman Quispe,Luis Jose,2026-05-27 07:53:37,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-27 13:11:45,salida
77000002,Huaman Quispe,Luis Jose,2026-05-28 07:54:38,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-28 13:02:46,salida
77000002,Huaman Quispe,Luis Jose,2026-05-29 07:55:39,entrada
77000002,Huaman Quispe,Luis Jose,2026-05-29 13:05:47,salida
77000003,Flores Huaman,Maria Lucia,2026-05-01 07:46:16,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-01 13:06:28,salida
77000003,Flores Huaman,Maria Lucia,2026-05-04 07:49:19,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-04 13:03:31,salida
77000003,Flores Huaman,Maria Lucia,2026-05-05 07:50:20,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-05 13:06:32,salida
77000003,Flores Huaman,Maria Lucia,2026-05-06 07:51:21,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-06 13:09:33,salida
77000003,Flores Huaman,Maria Lucia,2026-05-07 07:52:22,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-07 13:00:34,salida
77000003,Flores Huaman,Maria Lucia,2026-05-08 07:53:23,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-08 13:03:35,salida
77000003,Flores Huaman,Maria Lucia,2026-05-11 07:56:26,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-11 13:00:38,salida
77000003,Flores Huaman,Maria Lucia,2026-05-12 07:57:27,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-12 13:03:39,salida
77000003,Flores Huaman,Maria Lucia,2026-05-13 07:58:28,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-13 13:06:40,salida
77000003,Flores Huaman,Maria Lucia,2026-05-14 07:59:29,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-14 13:09:41,salida
77000003,Flores Huaman,Maria Lucia,2026-05-15 07:42:30,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-15 13:00:42,salida
77000003,Flores Huaman,Maria Lucia,2026-05-18 07:45:33,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-18 13:09:45,salida
77000003,Flores Huaman,Maria Lucia,2026-05-19 07:46:34,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-19 13:00:46,salida
77000003,Flores Huaman,Maria Lucia,2026-05-20 07:47:35,entrada
77000003,Flores Huaman,Maria Lucia,2026-05-20 13:03:47,salida
